발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018082604,0,야,일,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,보행자,보행자,947823.0,1942588.0,126.909848,37.48105471
2018,2018110122,35,야,목,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,946765.0,1941301.0,126.897975,37.46939434
2018,2018041405,4,야,토,1,1,0,0,0,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,보행자,보행자,952659.0,1945575.0,126.9643514,37.50823792
2018,2018030304,50,야,토,1,2,0,1,0,서울,중랑구,차대사람,횡단중,횡단중,운전자법규위반,과속,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,962906.0,1952859.0,127.0799215,37.57436009
2018,2018112312,30,주,금,1,2,0,1,0,서울,중랑구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,964432.0,1955676.0,127.0970658,37.59981081
2018,2018081315,23,주,월,1,1,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,화물차,보행자,보행자,964105.0,1954840.0,127.0934024,37.592263
2018,2018032218,55,야,목,1,1,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,특수차,특수차,보행자,보행자,964088.0,1956382.0,127.0931342,37.60616082
2018,2018093012,16,주,일,1,1,0,0,0,서울,강남구,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,자전거,자전거,958821.0,1948046.0,127.0339317,37.53080546
2018,2018111418,7,야,수,1,1,0,0,0,서울,강동구,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,건설기계,건설기계,보행자,보행자,966773.0,1950260.0,127.123831,37.55108203
2018,2018040809,34,주,일,1,1,0,0,0,서울,강동구,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,보행자,보행자,967868.0,1947946.0,127.1363288,37.53026382
2018,2018012706,53,주,토,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,승용차,승용차,보행자,보행자,966388.6,1946238.3,127.1196634,37.51481883
2018,2018072109,23,주,토,1,3,0,2,0,서울,송파구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로부근,승용차,승용차,승합차,승합차,964926.0,1945678.0,127.1031401,37.50971415
2018,2018111520,45,야,목,1,4,0,3,0,서울,구로구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,없음,없음,941821.0,1944702.0,126.8417986,37.4997498
2018,2018011020,27,야,수,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,보행자,보행자,941837.0,1944718.0,126.8419783,37.49989502
2018,2018012611,5,주,금,1,2,1,0,0,서울,구로구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로횡단보도내,건설기계,건설기계,보행자,보행자,946296.0,1942580.0,126.8925782,37.48089507
2018,2018112110,28,주,수,1,1,0,0,0,서울,서초구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,건설기계,건설기계,보행자,보행자,958161.0,1943306.0,127.0267318,37.48805249
2018,2018072605,39,야,목,1,1,0,0,0,서울,양천구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,941251.0,1948001.0,126.8350866,37.5294477
2018,2018012601,22,야,금,1,1,0,0,0,서울,노원구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,960789.0,1964243.0,127.055337,37.67687864
2018,2018060902,13,야,토,1,1,0,0,0,서울,노원구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,961183.0,1959465.0,127.0600591,37.63383052
2018,2018061301,43,야,수,1,2,0,0,1,서울,노원구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,보행자,보행자,961985.0,1959488.0,127.0691473,37.63407136
2018,2018022710,30,주,화,1,1,0,0,0,서울,노원구,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,지하차도(도로)내,자전거,자전거,건설기계,건설기계,961887.0,1962117.0,127.0678994,37.65776297
2018,2018022605,15,야,월,1,1,0,0,0,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,954195.2,1942744.9,126.9819086,37.48280691
2018,2018032012,7,주,화,1,1,0,0,0,부산,서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,없음,없음,1138139.4,1677330.2,129.0152749,35.08162672
2018,2018050608,38,주,일,1,1,0,0,0,부산,서구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1137641.0,1680430.0,129.0103248,35.10963699
2018,2018042105,17,야,토,2,2,0,0,0,부산,남구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,이륜차,이륜차,승용차,승용차,1143669.0,1683241.8,129.0769363,35.13414008
2018,2018062405,30,야,일,1,2,1,0,0,부산,동래구,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,1144184.0,1690739.0,129.0838973,35.20164421
2018,2018040507,15,주,목,1,2,1,0,0,부산,해운대구,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1147744.0,1687798.0,129.1224639,35.17461761
